,Scientific Name,Common Name
0,Abeliophyllum distichum,"Korean Abelia, Korean abelialeaf, Korean abeliophyllum, Miseonnamu, White Forsythia"
1,Abelmoschus esculentus,"Bentwood, Bindwood, Common English Ivy, Common Ivy, English Ivy, Gobbo, Gumbo, Ivy, Ivy Gum Plant, Ladies' Fingers, Love United, Ochro, Okra, Okro"
2,Abelmoschus manihot,"Hibiscus Manihot, Muskmallow, Sunset Huskmallow, Tropic Jewel Hibiscus"
3,Abies alba,"Common Silver Fir, European Silver Fir, Silver Fir"
4,Abies balsamea,"Balm of Gilead, Balsam Fir"
5,Abies balsamea var. phanerolepis,"Canaan Fir, West Virginia Balsam Fir"
6,Abies cephalonica,"Black Mountain Fir, Grecian fir, Greek Fir"
7,Abies cilicica,"Cilicica Fir, Syrian Fir, Taurus Fir"
8,Abies concolor,"Abeto Del Colorado, Balsam Fir, Colorado Fir, Colorado White Fir, Concolor Fir, Pino Real Blanco, Rocky Mountain White Fir, Western White Fir, White Balsam, White Fir"
9,Abies concolor 'Compacta',Compact White Fir
10,Abies firma,"Japanese Fir, Momi Fir"
11,Abies fraseri,"Fraser Fir, Mountain Balsam, She-Balsam, Southern Balsam"
12,Abies koreana,"Abeto Coreano, Korean Fir, Kusang Namu, Sapin Coréen"
13,Abies lasiocarpa,"Alpine Fir, Mountain Balsam Fir, Pino Real Blanco de las Sierras, Rocky Mountain Fir, Subalpine Fir, Western Balsam Fir, White Balsam Fir"
14,Abies nordmanniana,"Caucasian Fir, Christmas Tree Fir, Nordmann Fir"
15,Abronia fragrans,"Fragrant Sand Verbena, Fragrant Sand-verbena, Fragrant Verbena, Fragrent White Sand Verbena, Heart's Delight, Prairie Snowball, Sand Verbena, Snowball Sand Verbena, Snowball Verbena, Sweet Sand-verbena, Wild Lantana"
16,Abrus precatorius,"Buddhist Rosary Bead, Crab's Eyes, Indian Bead, Indian Licorice, Jequirity Bean, Love Bean, Lucky Bean, Prayer Bean, Precatory Bean, Rosary Pea, Seminole Bead, Weather Plant"
17,Abutilon x hybridum,"Chinese Bellflower, Chinese Lantern, Flowering Maple, Parlor Maple"
18,Acalypha,"Big Seed Copperleaf, Chenille Plant, Common Copperleaf, Common Three Seed Mercury, Copperleaf, Cuban Copperleaf, Deam's Three Seed Mercury, Field Copperleaf, Foxtail Copperleaf, Hornbeam Copperleaf, Hornbeam Three Seed Mercury, Poiret's Copperleaf, Rhombic Copperleaf, Rough Pod Copperleaf, Short Stalk Copperleaf, Slender Three Seed Mercury, Three-seeded Mercury, Two Seed Copperleaf, Virginia Copperleaf, Virginia Three Seed Mercury"
19,Acalypha gracilens,"Shortsalk Copperleaf, Slender Copperleaf, Slender Threeseed Mercury, Three-seeded Mercury"
20,Acalypha hispida,"Bristly Copperleaf, Chenille Plant, Foxtail, Philippines Medusa, Red Hot Cat's Tail, Red-Hot Cattail, Red-hot Cat Tail"
21,Acalypha poiretii,"Chenille Plant, Poiret's copperleaf"
22,Acalypha rhomboidea,"Common Three-Seed Mercury, Copperleaf, Rhomboid Mercury, Virginia Three-Seed Mercury"
23,Acalypha virginica,"Virginia Copperleaf, Virginia Threeseed Mercury"
24,Acalypha wilkesiana,"Cooperleaf, Copperleaf, Copper Plant, Jacob's Coat, Lance Copperleaf"
25,Acanthus mollis,"Bear's Breeches, Bearsfoot, Oyster Plant, Sea Dock"
26,Acanthus spinosus,"Bear's Breeches, Spiny Bear's Breech, Spiny Bear's Breeches"
27,Acanthus 'Summer Beauty',Bear's Breeches 'Summer Beauty'
28,Acca sellowiana,"Feijoa, Guava, Guavasteen, Pineapple Guava"
29,Acer buergerianum,"Three-toothed Maple, Trident Maple"
30,Acer campestre,"Field Maple, Hedge Maple"
31,Acer capillipes,"Japanese Stripped-Bark Maple, Kyushu Maple, Red Snakebark Maple, Snakebark Maple"
32,Acer cappadocicum,"Cappadocian Maple, Caucasian Maple, Coliseum Maple"
33,Acer circinatum,"Oregon Vine Maple, Vine Maple"
34,Acer cissifolium,"Ivy-Leafed Maple, Ivyleaf Maple, Ivy-Leaved Maple, Vine-Leafed Maple, Vineleaf Maple, Vine-Leaved Maple"
35,Acer crataegifolium,"Hawthorn Maple, Uri Maple"
36,Acer davidii,"Pere David's Maple, Snake Bark Maple, Snakebark Maple"
37,Acer diabolicum,"Devil Maple, Horned Maple"
38,Acer fabri,"Emerald Jade Maple, Faber's Maple"
39,Acer ginnala,"Amur, Amur Maple, Maple"
40,Acer glabrum,"Douglasii, Douglas Maple, Greene's Maple, New Mexico Maple, Rock Maple, Rocky Maple, Rocky Mountain Maple, Torrey Maple"
41,Acer griseum,"Paper Bark Maple, Paperbark Maple"
42,Acer japonicum,Fullmoon Maple
43,Acer japonicum 'Aconitifolium',"Fernleaf Full Moon Maple, Fernleaf Maple, Full Moon Maple"
44,Acer macrophyllum,"Big Leaf Maple, Oregon Maple"
45,Acer maximowiczianum,Nikko Maple
46,Acer negundo,"Ash-Leaf Maple, Boxelder"
47,Acer negundo 'Winter Lightning',"Winter Lightning Boxelder Maple, Winter Lightning Maple, Yellow-twigged Box Elder"
